FarmerGoals,Target Cash Crops,Cover Crop,Nitrogen Scavenger,Nitrogen Source,Quick Growth,Soil Builder,Weed Fighter,Planting Months,TerminationMonths,SeedCostPerAcre,TerminationCostPerAcre,Notes,Cashcrop compatibility,Erosion fighter,Good grazing,Grain harvest,Lasting residue,Mechanical forage,Nitrogen source,Quick growth,Soil builder,Weed fighter
Erosion fighter|Mechanical forage|Quick growth,"Corn, Soybeans",Sorghum-Sudangrass,No,No,Yes,Yes,Yes,Jun-Jul,Aug-Sept (Mowing),$20-$30,$7-$17,High Biomass; Avoid Grazing (Prussic Acid).,No,Yes,No,No,No,Yes,No,Yes,No,No
Erosion fighter|Mechanical forage|Quick growth,"Wheat, Corn",Winter Wheat,Yes,No,Yes,Yes,Moderate,Sept-Nov,May-Jun (Harvest),$10-$20,$12-$22,Dual-Use (Grain/Cover).,No,Yes,No,No,No,Yes,No,Yes,No,No
Erosion fighter|Mechanical forage|Quick growth,"Corn, Soybeans",Sunn Hemp,No,Yes,Yes,Yes,Yes,May-Jul,Aug-Sept (Frost),$27-$37,$0 ,Tropical; Needs 60+ Days.,No,Yes,No,No,No,Yes,No,Yes,No,No
Erosion fighter|Mechanical forage|Quick growth,"Vegetables, Corn",Cowpea,No,Yes,Yes,Yes,Moderate,May-Jul,Aug-Sept (Mowing),$22-$32,$7-$17,Drought-Tolerant; Low Biomass In Cool Climates.,No,Yes,No,No,No,Yes,No,Yes,No,No
Erosion fighter|Mechanical forage|Quick growth,"Livestock, Corn",Turnip,Yes,No,Yes,Yes,No,Jul-Sept,Nov-Dec (Grazing/Winter-kill),$6-$16,$0 ,Edible Roots; Plant With Clover/Rye.,No,Yes,No,No,No,Yes,No,Yes,No,No
Erosion fighter|Mechanical forage|Quick growth,"Barley, Soybeans",Barley,Yes,No,Yes,Yes,Moderate,Aug-Oct,May-Jun (Harvest),$9-$19,$12-$22,Short Window; Tolerates Poor Soils.,No,Yes,No,No,No,Yes,No,Yes,No,No
Mechanical forage|Soil builder|Weed fighter,"Corn, Soybeans",Cereal Rye,Yes,No,Yes,Yes,Yes,Aug-Nov,Mar-Apr,$15-$25,$10-$20,Allelopathic; Plant Early For Biomass.,No,No,No,No,No,Yes,No,No,Yes,Yes
Mechanical forage|Soil builder|Weed fighter,"Corn, Vegetables",Crimson Clover,No,Yes,No,Yes,Yes,Aug-Sept,Apr-May,$27-$37,$10-$20,Inoculate Seed For Best N-Fixation.,No,No,No,No,No,Yes,No,No,Yes,Yes
Mechanical forage|Soil builder|Weed fighter,"Soybeans, Corn",Oilseed Radish,Yes,No,Yes,Yes,Yes,Aug-Sept,Dec (Winter-kill),$15-$25,$0 ,Breaks Compaction; Dies In Frost.,No,No,No,No,No,Yes,No,No,Yes,Yes
Mechanical forage|Soil builder|Weed fighter,"Vegetables, Small Grains",Buckwheat,No,No,Yes,Yes,Yes,May-July,Jul-Aug (Mowing/Frost),$10-$20,$2-$12,Pollinator-Friendly; Frost-Sensitive.,No,No,No,No,No,Yes,No,No,Yes,Yes
Mechanical forage|Soil builder|Weed fighter,"Corn, Tobacco",Hairy Vetch,No,Yes,No,Yes,Yes,Aug-Sept,Apr-May,$35-$45,$10-$20,High N Payoff; Hard Seed Persistence.,No,No,No,No,No,Yes,No,No,Yes,Yes
Mechanical forage|Soil builder|Weed fighter,"Corn, Soybeans",Sorghum-Sudangrass,No,No,Yes,Yes,Yes,Jun-Jul,Aug-Sept (Mowing),$20-$30,$7-$17,High Biomass; Avoid Grazing (Prussic Acid).,No,No,No,No,No,Yes,No,No,Yes,Yes
Mechanical forage|Soil builder|Weed fighter,"Corn, Soybeans",Sunn Hemp,No,Yes,Yes,Yes,Yes,May-Jul,Aug-Sept (Frost),$27-$37,$0 ,Tropical; Needs 60+ Days.,No,No,No,No,No,Yes,No,No,Yes,Yes
Erosion fighter|Grain harvest|Cashcrop compatibility,"Corn, Soybeans",Cereal Rye,Yes,No,Yes,Yes,Yes,Aug-Nov,Mar-Apr,$15-$25,$10-$20,Allelopathic; Plant Early For Biomass.,Yes,Yes,No,Yes,No,No,No,No,No,No
Erosion fighter|Grain harvest|Cashcrop compatibility,"Corn, Vegetables",Crimson Clover,No,Yes,No,Yes,Yes,Aug-Sept,Apr-May,$27-$37,$10-$20,Inoculate Seed For Best N-Fixation.,Yes,Yes,No,Yes,No,No,No,No,No,No
Erosion fighter|Grain harvest|Cashcrop compatibility,"Soybeans, Corn",Oilseed Radish,Yes,No,Yes,Yes,Yes,Aug-Sept,Dec (Winter-kill),$15-$25,$0 ,Breaks Compaction; Dies In Frost.,Yes,Yes,No,Yes,No,No,No,No,No,No
Erosion fighter|Grain harvest|Cashcrop compatibility,"Orchards, Row Crops",Annual Ryegrass,Yes,No,Yes,Yes,Moderate,Aug-Oct,Apr-May,$10-$20,$10-$20,Avoid Poorly Drained Soils.,Yes,Yes,No,Yes,No,No,No,No,No,No
Erosion fighter|Grain harvest|Cashcrop compatibility,"Vegetables, Small Grains",Buckwheat,No,No,Yes,Yes,Yes,May-July,Jul-Aug (Mowing/Frost),$10-$20,$2-$12,Pollinator-Friendly; Frost-Sensitive.,Yes,Yes,No,Yes,No,No,No,No,No,No
Erosion fighter|Grain harvest|Cashcrop compatibility,"Corn, Tobacco",Hairy Vetch,No,Yes,No,Yes,Yes,Aug-Sept,Apr-May,$35-$45,$10-$20,High N Payoff; Hard Seed Persistence.,Yes,Yes,No,Yes,No,No,No,No,No,No
Erosion fighter|Grain harvest|Cashcrop compatibility,"Corn, Soybeans",Oats,Yes,No,Yes,Yes,Moderate,Aug-Oct,Dec (Winter-kill),$7-$17,$0 ,Quick Biomass; Winter-Kills.,Yes,Yes,No,Yes,No,No,No,No,No,No
Erosion fighter|Grain harvest|Cashcrop compatibility,"Corn, Soybeans",Sorghum-Sudangrass,No,No,Yes,Yes,Yes,Jun-Jul,Aug-Sept (Mowing),$20-$30,$7-$17,High Biomass; Avoid Grazing (Prussic Acid).,Yes,Yes,No,Yes,No,No,No,No,No,No
Erosion fighter|Grain harvest|Cashcrop compatibility,"Wheat, Corn",Winter Wheat,Yes,No,Yes,Yes,Moderate,Sept-Nov,May-Jun (Harvest),$10-$20,$12-$22,Dual-Use (Grain/Cover).,Yes,Yes,No,Yes,No,No,No,No,No,No
Erosion fighter|Grain harvest|Cashcrop compatibility,"Corn, Soybeans",Sunn Hemp,No,Yes,Yes,Yes,Yes,May-Jul,Aug-Sept (Frost),$27-$37,$0 ,Tropical; Needs 60+ Days.,Yes,Yes,No,Yes,No,No,No,No,No,No
Erosion fighter|Grain harvest|Cashcrop compatibility,"Vegetables, Corn",Cowpea,No,Yes,Yes,Yes,Moderate,May-Jul,Aug-Sept (Mowing),$22-$32,$7-$17,Drought-Tolerant; Low Biomass In Cool Climates.,Yes,Yes,No,Yes,No,No,No,No,No,No
Erosion fighter|Grain harvest|Cashcrop compatibility,"Livestock, Corn",Turnip,Yes,No,Yes,Yes,No,Jul-Sept,Nov-Dec (Grazing/Winter-kill),$6-$16,$0 ,Edible Roots; Plant With Clover/Rye.,Yes,Yes,No,Yes,No,No,No,No,No,No
Erosion fighter|Grain harvest|Cashcrop compatibility,"Barley, Soybeans",Barley,Yes,No,Yes,Yes,Moderate,Aug-Oct,May-Jun (Harvest),$9-$19,$12-$22,Short Window; Tolerates Poor Soils.,Yes,Yes,No,Yes,No,No,No,No,No,No
Soil builder|Nitrogen source|Weed fighter,"Corn, Vegetables",Crimson Clover,No,Yes,No,Yes,Yes,Aug-Sept,Apr-May,$27-$37,$10-$20,Inoculate Seed For Best N-Fixation.,No,No,No,No,No,No,Yes,No,Yes,Yes
Soil builder|Nitrogen source|Weed fighter,"Corn, Tobacco",Hairy Vetch,No,Yes,No,Yes,Yes,Aug-Sept,Apr-May,$35-$45,$10-$20,High N Payoff; Hard Seed Persistence.,No,No,No,No,No,No,Yes,No,Yes,Yes
Soil builder|Nitrogen source|Weed fighter,"Corn, Soybeans",Sunn Hemp,No,Yes,Yes,Yes,Yes,May-Jul,Aug-Sept (Frost),$27-$37,$0 ,Tropical; Needs 60+ Days.,No,No,No,No,No,No,Yes,No,Yes,Yes
Nitrogen source|Good grazing|Cashcrop compatibility,"Corn, Vegetables",Crimson Clover,No,Yes,No,Yes,Yes,Aug-Sept,Apr-May,$27-$37,$10-$20,Inoculate Seed For Best N-Fixation.,Yes,No,Yes,No,No,No,Yes,No,No,No
Nitrogen source|Good grazing|Cashcrop compatibility,"Corn, Tobacco",Hairy Vetch,No,Yes,No,Yes,Yes,Aug-Sept,Apr-May,$35-$45,$10-$20,High N Payoff; Hard Seed Persistence.,Yes,No,Yes,No,No,No,Yes,No,No,No
Nitrogen source|Good grazing|Cashcrop compatibility,"Corn, Soybeans",Sunn Hemp,No,Yes,Yes,Yes,Yes,May-Jul,Aug-Sept (Frost),$27-$37,$0 ,Tropical; Needs 60+ Days.,Yes,No,Yes,No,No,No,Yes,No,No,No
Nitrogen source|Good grazing|Cashcrop compatibility,"Vegetables, Corn",Cowpea,No,Yes,Yes,Yes,Moderate,May-Jul,Aug-Sept (Mowing),$22-$32,$7-$17,Drought-Tolerant; Low Biomass In Cool Climates.,Yes,No,Yes,No,No,No,Yes,No,No,No
Good grazing|Soil builder|Cashcrop compatibility,"Corn, Soybeans",Cereal Rye,Yes,No,Yes,Yes,Yes,Aug-Nov,Mar-Apr,$15-$25,$10-$20,Allelopathic; Plant Early For Biomass.,Yes,No,Yes,No,No,No,No,No,Yes,No
Good grazing|Soil builder|Cashcrop compatibility,"Corn, Vegetables",Crimson Clover,No,Yes,No,Yes,Yes,Aug-Sept,Apr-May,$27-$37,$10-$20,Inoculate Seed For Best N-Fixation.,Yes,No,Yes,No,No,No,No,No,Yes,No
Good grazing|Soil builder|Cashcrop compatibility,"Soybeans, Corn",Oilseed Radish,Yes,No,Yes,Yes,Yes,Aug-Sept,Dec (Winter-kill),$15-$25,$0 ,Breaks Compaction; Dies In Frost.,Yes,No,Yes,No,No,No,No,No,Yes,No
Good grazing|Soil builder|Cashcrop compatibility,"Orchards, Row Crops",Annual Ryegrass,Yes,No,Yes,Yes,Moderate,Aug-Oct,Apr-May,$10-$20,$10-$20,Avoid Poorly Drained Soils.,Yes,No,Yes,No,No,No,No,No,Yes,No
Good grazing|Soil builder|Cashcrop compatibility,"Vegetables, Small Grains",Buckwheat,No,No,Yes,Yes,Yes,May-July,Jul-Aug (Mowing/Frost),$10-$20,$2-$12,Pollinator-Friendly; Frost-Sensitive.,Yes,No,Yes,No,No,No,No,No,Yes,No
Good grazing|Soil builder|Cashcrop compatibility,"Corn, Tobacco",Hairy Vetch,No,Yes,No,Yes,Yes,Aug-Sept,Apr-May,$35-$45,$10-$20,High N Payoff; Hard Seed Persistence.,Yes,No,Yes,No,No,No,No,No,Yes,No
Good grazing|Soil builder|Cashcrop compatibility,"Corn, Soybeans",Oats,Yes,No,Yes,Yes,Moderate,Aug-Oct,Dec (Winter-kill),$7-$17,$0 ,Quick Biomass; Winter-Kills.,Yes,No,Yes,No,No,No,No,No,Yes,No
Good grazing|Soil builder|Cashcrop compatibility,"Corn, Soybeans",Sorghum-Sudangrass,No,No,Yes,Yes,Yes,Jun-Jul,Aug-Sept (Mowing),$20-$30,$7-$17,High Biomass; Avoid Grazing (Prussic Acid).,Yes,No,Yes,No,No,No,No,No,Yes,No
Good grazing|Soil builder|Cashcrop compatibility,"Wheat, Corn",Winter Wheat,Yes,No,Yes,Yes,Moderate,Sept-Nov,May-Jun (Harvest),$10-$20,$12-$22,Dual-Use (Grain/Cover).,Yes,No,Yes,No,No,No,No,No,Yes,No
Good grazing|Soil builder|Cashcrop compatibility,"Corn, Soybeans",Sunn Hemp,No,Yes,Yes,Yes,Yes,May-Jul,Aug-Sept (Frost),$27-$37,$0 ,Tropical; Needs 60+ Days.,Yes,No,Yes,No,No,No,No,No,Yes,No
Good grazing|Soil builder|Cashcrop compatibility,"Vegetables, Corn",Cowpea,No,Yes,Yes,Yes,Moderate,May-Jul,Aug-Sept (Mowing),$22-$32,$7-$17,Drought-Tolerant; Low Biomass In Cool Climates.,Yes,No,Yes,No,No,No,No,No,Yes,No
Good grazing|Soil builder|Cashcrop compatibility,"Livestock, Corn",Turnip,Yes,No,Yes,Yes,No,Jul-Sept,Nov-Dec (Grazing/Winter-kill),$6-$16,$0 ,Edible Roots; Plant With Clover/Rye.,Yes,No,Yes,No,No,No,No,No,Yes,No
Good grazing|Soil builder|Cashcrop compatibility,"Barley, Soybeans",Barley,Yes,No,Yes,Yes,Moderate,Aug-Oct,May-Jun (Harvest),$9-$19,$12-$22,Short Window; Tolerates Poor Soils.,Yes,No,Yes,No,No,No,No,No,Yes,No
Erosion fighter|Grain harvest|Quick growth,"Corn, Soybeans",Cereal Rye,Yes,No,Yes,Yes,Yes,Aug-Nov,Mar-Apr,$15-$25,$10-$20,Allelopathic; Plant Early For Biomass.,No,Yes,No,Yes,No,No,No,Yes,No,No
Erosion fighter|Grain harvest|Quick growth,"Soybeans, Corn",Oilseed Radish,Yes,No,Yes,Yes,Yes,Aug-Sept,Dec (Winter-kill),$15-$25,$0 ,Breaks Compaction; Dies In Frost.,No,Yes,No,Yes,No,No,No,Yes,No,No
Erosion fighter|Grain harvest|Quick growth,"Orchards, Row Crops",Annual Ryegrass,Yes,No,Yes,Yes,Moderate,Aug-Oct,Apr-May,$10-$20,$10-$20,Avoid Poorly Drained Soils.,No,Yes,No,Yes,No,No,No,Yes,No,No
Erosion fighter|Grain harvest|Quick growth,"Vegetables, Small Grains",Buckwheat,No,No,Yes,Yes,Yes,May-July,Jul-Aug (Mowing/Frost),$10-$20,$2-$12,Pollinator-Friendly; Frost-Sensitive.,No,Yes,No,Yes,No,No,No,Yes,No,No
Erosion fighter|Grain harvest|Quick growth,"Corn, Soybeans",Oats,Yes,No,Yes,Yes,Moderate,Aug-Oct,Dec (Winter-kill),$7-$17,$0 ,Quick Biomass; Winter-Kills.,No,Yes,No,Yes,No,No,No,Yes,No,No
Erosion fighter|Grain harvest|Quick growth,"Corn, Soybeans",Sorghum-Sudangrass,No,No,Yes,Yes,Yes,Jun-Jul,Aug-Sept (Mowing),$20-$30,$7-$17,High Biomass; Avoid Grazing (Prussic Acid).,No,Yes,No,Yes,No,No,No,Yes,No,No
Erosion fighter|Grain harvest|Quick growth,"Wheat, Corn",Winter Wheat,Yes,No,Yes,Yes,Moderate,Sept-Nov,May-Jun (Harvest),$10-$20,$12-$22,Dual-Use (Grain/Cover).,No,Yes,No,Yes,No,No,No,Yes,No,No
Erosion fighter|Grain harvest|Quick growth,"Corn, Soybeans",Sunn Hemp,No,Yes,Yes,Yes,Yes,May-Jul,Aug-Sept (Frost),$27-$37,$0 ,Tropical; Needs 60+ Days.,No,Yes,No,Yes,No,No,No,Yes,No,No
Erosion fighter|Grain harvest|Quick growth,"Vegetables, Corn",Cowpea,No,Yes,Yes,Yes,Moderate,May-Jul,Aug-Sept (Mowing),$22-$32,$7-$17,Drought-Tolerant; Low Biomass In Cool Climates.,No,Yes,No,Yes,No,No,No,Yes,No,No
Erosion fighter|Grain harvest|Quick growth,"Livestock, Corn",Turnip,Yes,No,Yes,Yes,No,Jul-Sept,Nov-Dec (Grazing/Winter-kill),$6-$16,$0 ,Edible Roots; Plant With Clover/Rye.,No,Yes,No,Yes,No,No,No,Yes,No,No
Erosion fighter|Grain harvest|Quick growth,"Barley, Soybeans",Barley,Yes,No,Yes,Yes,Moderate,Aug-Oct,May-Jun (Harvest),$9-$19,$12-$22,Short Window; Tolerates Poor Soils.,No,Yes,No,Yes,No,No,No,Yes,No,No
